grid80,AtBlckGlz,Balearic,CamBlckGlzA,CamBlckGlzB,CmedPuAm,EbBlckGlz,EbPuAm,EbPuCom,GrItAm,IbAm,IbCom,ItAm,ItCom,MasAm,PuAm,PuCom,SoItVesCaAm
708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.4,0.0,0.0,0.0,0.0,0.0,0.0
714,0.0,0.0,0.0,0.0,0.0,0.0,72.89,38.0,0.0,0.0,0.0,157.51000000000002,0.0,0.0,0.0,0.0,181.08
715,0.0,0.0,0.0,0.0,0.0,0.0,185.5,54.06,0.0,10.21,0.0,776.8299999999999,0.0,0.0,0.0,7.5,907.4
716,0.0,8.21,0.0,0.0,0.0,0.0,329.62,69.08,0.0,0.0,0.0,667.09,60.46,0.0,0.0,70.69999999999999,746.2900000000001
717,0.0,39.6,0.0,0.0,0.0,0.0,166.5,0.0,0.0,0.0,55.5,40.8,0.0,0.0,0.0,0.0,33.4
718,0.0,11.5,0.0,0.0,0.0,0.0,230.70000000000002,0.0,116.2,0.0,0.0,656.1,0.0,0.0,22.2,0.0,233.90000000000003
719,0.0,165.9,4.2,0.0,0.0,0.0,189.89999999999998,0.0,0.0,0.0,49.2,169.5,0.0,0.0,0.0,0.0,140.28
735,0.0,102.5,0.0,0.0,0.0,0.0,649.9000000000001,19.8,0.0,5.6,0.0,68.9,15.5,0.0,0.0,0.0,81.6
736,0.0,12.9,0.0,0.0,0.0,0.0,334.3,0.0,0.0,0.0,0.0,138.5,0.0,0.0,27.6,0.0,0.0
740,0.0,70.7,0.0,2.0,0.0,0.0,178.53,15.860000000000001,0.0,0.0,0.0,504.1,9.05,0.0,0.0,89.8,1198.1399999999999
741,0.0,1666.8799999999999,3.8,6.1,0.0,0.0,1698.5599999999997,30.8,0.0,0.0,0.0,763.0700000000002,0.0,0.0,0.0,12.1,520.0
742,0.0,1016.5999999999998,0.0,0.0,0.0,5.4,449.4,0.0,0.0,0.0,0.0,295.3,0.0,11.7,0.0,6.5,171.2
743,0.0,97.8,0.0,0.0,0.0,3.8,236.3,0.0,0.0,0.0,0.0,88.2,9.4,0.0,0.0,0.0,416.9
744,0.0,3.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,0.0,334.14,0.0,1.9,0.0,0.0,382.7,61.8,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0.0,167.8
757,0.0,126.9,0.0,0.0,0.0,6.8,804.18,5.0,19.2,0.0,0.0,397.79999999999995,0.0,0.0,0.0,0.0,758.7
760,0.0,87.6,0.0,0.0,0.0,0.0,576.3000000000001,0.0,0.0,0.0,0.0,613.8000000000001,0.0,0.0,0.0,0.0,675.2999999999998
761,0.0,1312.0000000000002,10.0,3.7,0.0,0.0,3465.3600000000006,4.1,0.0,0.0,0.0,1203.7,0.0,0.0,0.0,0.0,1836.3999999999999
762,0.0,789.3999999999999,10.8,0.0,0.0,0.0,60.699999999999996,0.0,0.0,0.0,0.0,52.7,0.0,0.0,0.0,0.0,35.6
763,0.0,14.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.1
777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.5,0.0,0.0,0.0,0.0,0.0
779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2
780,0.0,24.3,0.0,0.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,177.7
781,0.0,4.7,0.0,0.0,0.0,7.4,18.6,0.0,0.0,0.0,0.0,315.2,0.0,0.0,0.0,0.0,161.89999999999998
