SurveyPointId,Easting,Northing,Amphora,Coarseware,Commonware,Fineware
05071a-50-103,531975.08,4387103.02,1.0,0.0,0.0,0.0
05071a-50-104,531966.83,4387097.81,1.0,0.0,0.0,0.0
05071a-58-303,532014.29,4387038.75,1.0,0.0,0.0,0.0
05071a-63-202,532003.59,4387072.56,1.0,0.0,0.0,0.0
05071a-63-204,531982.1,4387060.6,0.0,0.0,1.0,0.0
050740-13-005,532017.53,4387096.12,1.0,0.0,0.0,0.0
050740-14-402,532051.18,4387082.52,1.0,0.0,0.0,0.0
050740-62-402,532031.24,4387089.21,0.0,0.0,1.0,0.0
050740-66-402,532040.88,4387083.7,1.0,0.0,0.0,0.0
050870-64-302,531638.08,4387182.26,0.0,1.0,0.0,0.0
050880-62-207,531679.83,4387295.3,0.0,0.0,1.0,0.0
050880-65-216,531624.32,4387272.43,0.0,0.0,1.0,0.0
050930-50-405,531738.55,4387215.58,1.0,0.0,0.0,0.0
050930-53-604,531704.46,4387192.08,1.0,0.0,0.0,0.0
050930-56-409,531764.06,4387221.62,1.0,0.0,0.0,0.0
05130a-35-108,531236.09,4387018.69,0.0,0.0,1.0,0.0
05130a-36-103,531183.83,4386890.74,0.0,0.0,1.0,0.0
05130a-42-108,531192.91,4387002.53,0.0,0.0,1.0,0.0
05130a-44-101,531203.69,4386861.52,0.0,0.0,1.0,0.0
110200-73-106,530425.01,4387047.08,1.0,0.0,0.0,0.0
110200-75-105,530456.78,4387085.27,1.0,0.0,0.0,0.0
110200-78-106,530469.24,4387081.21,1.0,0.0,0.0,0.0
11025a-83-105,530826.79,4387457.1,0.0,0.0,1.0,0.0
110360-05-001,530444.72,4387139.72,1.0,0.0,0.0,0.0
110360-05-002,530439.97,4387147.02,1.0,0.0,0.0,0.0
110360-73-007,530407.42,4387133.13,1.0,0.0,0.0,0.0
110360-75-008,530369.94,4387104.68,0.0,1.0,0.0,0.0
110360-78-013,530422.56,4387146.18,1.0,0.0,0.0,0.0
11050a-78-105,530633.95,4387591.51,0.0,0.0,1.0,0.0
11097a-73-004,530122.77,4388208.24,0.0,0.0,1.0,0.0
11117a-14-006,530006.38,4388459.83,0.0,0.0,1.0,0.0
111260-74-304,529808.49,4388357.4,1.0,0.0,0.0,0.0
111260-84-301,529846.86,4388331.8,1.0,0.0,0.0,0.0
111270-73-203,529862.43,4388388.91,1.0,0.0,0.0,0.0
11140d-34-006,530909.49,4386972.09,0.0,0.0,1.0,0.0
15001a-05-038,529171.3,4389791.34,1.0,0.0,0.0,0.0
15001a-14-216,528986.08,4389907.17,1.0,0.0,1.0,0.0
15001a-14-224,528955.81,4389859.67,0.0,0.0,1.0,0.0
15001a-14-227,528985.39,4389862.11,1.0,0.0,0.0,0.0
15001a-16-133,529205.14,4389664.19,1.0,0.0,0.0,0.0
15001a-16-236,529090.01,4389852.49,1.0,0.0,0.0,0.0
15001a-20-131,529226.81,4389944.69,1.0,0.0,0.0,0.0
15001a-21-133,529194.73,4389675.45,0.0,0.0,1.0,0.0
15001a-21-217,528966.93,4389913.98,1.0,0.0,0.0,0.0
15001a-22-221,528952.94,4389800.67,1.0,0.0,0.0,0.0
15001a-22-222,528960.2,4389802.74,1.0,0.0,0.0,0.0
160020-42-409,529703.88,4389563.3,1.0,0.0,0.0,0.0
160040-14-005,529751.48,4389478.47,1.0,0.0,0.0,0.0
160080-40-302,529639.53,4389342.53,1.0,0.0,1.0,0.0
16041c-39-402,530162.28,4388790.51,0.0,0.0,1.0,0.0
160830-82-003,530611.74,4388150.24,1.0,0.0,0.0,0.0
160830-84-008,530576.48,4388235.11,1.0,0.0,0.0,0.0
160840-80-406,530363.05,4388745.58,1.0,0.0,0.0,0.0
160870-05-009,530444.26,4388842.01,1.0,0.0,0.0,0.0
160870-71-502,530501.86,4388790.96,1.0,0.0,0.0,0.0
160870-80-506,530464.14,4388783.49,1.0,0.0,0.0,0.0
160870-82-504,530467.24,4388803.15,0.0,0.0,1.0,0.0
160880-71-201,530354.94,4388864.52,1.0,0.0,0.0,0.0
160890-74-101,530439.89,4388862.86,1.0,0.0,0.0,0.0
160890-74-103,530431.07,4388879.14,1.0,0.0,0.0,0.0
160910-80-004,530307.52,4388925.04,1.0,0.0,0.0,0.0
160910-82-003,530302.94,4388932.02,1.0,0.0,0.0,0.0
16094a-37-204,530734.47,4388293.45,1.0,0.0,0.0,0.0
16094b-05-303,530828.52,4388450.94,1.0,0.0,0.0,0.0
