SurveyPointId,Easting,Northing,Amphora,Coarseware,Commonware,Fineware
16127a-12-006,530334.5,4388632.7,0.0,55.5,0.0,0.0
16127a-13-001,530388.7,4388594.4,99.9,0.0,1.5,6.8
16127a-13-002,530377.1,4388619.0,83.29999999999998,17.0,3.5,0.0
16127a-13-003,530371.7,4388620.9,7.8,11.1,0.0,0.0
16127a-13-004,530326.1,4388602.9,116.3,54.099999999999994,12.8,0.0
16127a-13-011,530372.3,4388579.1,63.580000000000005,11.5,0.0,0.0
16127b-82-303,530374.66,4388673.15,177.5,0.0,0.0,0.0
16127b-84-302,530949.35,4385998.36,60.8,0.0,0.0,0.0
16127b-84-303,530949.35,4385998.36,0.0,0.0,5.6,0.0
161310-38-301,530714.47,4388475.46,75.9,0.0,0.0,0.0
161310-38-302,530722.03,4388485.03,23.6,0.0,0.0,0.0
161310-46-303,530734.22,4388485.57,0.0,0.0,15.5,0.0
16135a-05-102,530874.18,4388693.56,84.69999999999999,0.0,0.0,0.0
16135a-05-113,530721.1,4388698.72,0.0,24.3,0.0,0.0
16135a-05-116,530747.55,4388713.7,10.9,0.0,0.0,0.0
16135a-05-121,530714.39,4388724.33,148.8,0.0,0.0,0.0
16135a-05-122,530821.47,4388594.79,137.1,30.0,0.0,0.0
16135a-05-123,530837.0,4388573.66,126.6,0.0,0.0,0.0
16135a-05-124,530842.72,4388558.59,0.0,27.7,0.0,0.0
16135a-05-126,530851.89,4388540.2,13.7,0.0,0.0,0.0
16135a-13-002,530858.48,4388689.3,101.89999999999999,0.0,0.0,0.0
16135a-13-003,530862.79,4388683.99,33.4,0.0,0.0,0.0
16135a-13-004,530866.54,4388672.03,90.1,0.0,0.0,0.0
16135a-13-007,530857.9,4388631.83,490.01,0.0,0.0,0.0
16135a-13-008,530851.88,4388623.98,99.1,21.0,0.0,0.0
16135a-13-009,530844.02,4388616.25,193.8,20.700000000000003,0.0,0.0
16135a-13-010,530837.55,4388611.58,188.7,3.9,0.0,0.0
16135a-23-143,530827.93,4388743.18,98.30000000000001,24.700000000000003,8.6,0.0
16135a-23-145,530833.16,4388608.49,38.7,0.0,0.0,0.0
16135a-23-147,530847.36,4388586.86,35.5,0.0,0.0,0.0
16135a-23-150,530859.59,4388564.01,67.3,0.0,0.0,0.0
16135a-23-153,530821.19,4388562.63,75.3,0.0,0.0,0.0
16135a-24-106,530847.03,4388660.52,28.7,0.0,0.0,0.0
16135a-24-107,530850.89,4388651.68,77.19999999999999,0.0,0.0,0.0
16135a-24-108,530852.9,4388645.9,606.7,120.89999999999999,0.0,3.7
16135a-24-109,530855.11,4388637.61,103.89999999999999,93.60000000000004,0.0,0.0
16135a-24-110,530857.6,4388632.23,115.65,37.5,0.0,0.0
16135a-24-122,530752.49,4388686.25,77.0,0.0,0.0,0.0
16135a-24-125,530722.8,4388709.16,34.0,0.0,0.0,0.0
16135a-24-130,530766.51,4388732.17,64.0,0.0,0.0,0.0
16135a-24-134,530845.37,4388565.06,0.0,0.0,0.0,2.0
16135a-24-135,530849.44,4388557.8,8.8,0.0,0.0,0.0
16135a-24-137,530857.21,4388551.11,316.69999999999993,394.69999999999993,0.0,0.0
16135a-25-107,530840.67,4388642.59,37.6,0.0,0.0,0.0
16135a-25-108,530842.82,4388640.05,323.09999999999997,0.0,0.0,0.0
16135a-25-109,530847.49,4388631.85,370.49999999999994,0.0,0.0,0.0
16135a-25-110,530847.84,4388630.19,512.1,0.0,0.0,0.0
16135a-25-118,530748.85,4388666.53,13.6,0.0,0.0,0.0
16135a-25-125,530796.55,4388712.67,9.7,0.0,0.0,0.0
16135a-25-128,530723.76,4388719.48,30.1,0.0,0.0,0.0
16135a-25-130,530743.96,4388731.33,17.9,0.0,0.0,0.0
16135a-25-132,530768.98,4388740.2,0.0,0.0,22.4,0.0
16135a-25-133,530838.04,4388569.66,12.2,0.0,0.0,0.0
16135a-25-134,530838.67,4388563.12,142.9,0.0,0.0,0.0
16135a-25-136,530843.28,4388546.93,97.7,0.0,0.0,0.0
16135a-25-137,530846.49,4388538.73,55.6,0.0,0.0,0.0
16135a-25-138,530842.45,4388541.49,36.0,0.0,0.0,0.0
16135a-25-140,530833.96,4388560.1,249.0,43.0,0.0,0.0
16135a-25-141,530832.14,4388565.98,312.5,0.0,89.8,0.0
16135a-25-142,530826.92,4388561.19,37.5,0.0,0.0,0.0
16135a-25-143,530829.7,4388554.54,411.19999999999993,0.0,0.0,0.0
16135a-26-108,530837.0,4388637.75,20.7,0.0,0.0,0.0
16135a-26-109,530837.38,4388634.14,595.4,13.1,0.0,0.0
16135a-26-110,530840.96,4388624.5,22.2,0.0,0.0,0.0
16135a-26-111,530840.88,4388622.28,140.29999999999998,0.0,0.0,0.0
16135a-26-113,530873.25,4388632.41,42.0,0.0,0.0,0.0
16135a-26-114,530867.59,4388627.82,219.20000000000002,34.699999999999996,0.0,0.0
16135a-26-115,530862.23,4388622.06,405.5000000000001,70.9,0.0,0.0
16135a-26-116,530857.66,4388617.23,11.5,25.2,0.0,0.0
16135a-26-117,530852.32,4388612.31,176.3,0.0,0.0,0.0
16135a-26-118,530848.33,4388607.41,124.49999999999999,42.2,0.0,0.0
16135a-26-119,530842.44,4388607.07,17.1,3.6,0.0,0.0
16135a-26-120,530831.87,4388609.86,96.2,0.0,0.0,0.0
16135a-27-101,530806.69,4388642.79,0.0,11.8,0.0,0.0
16135a-27-106,530846.16,4388663.7,271.9,0.0,0.0,0.0
16135a-27-107,530851.5,4388658.62,58.6,0.0,0.0,0.0
16135a-27-108,530854.36,4388652.08,260.3,12.9,0.0,0.0
16135a-27-109,530855.92,4388647.87,110.9,61.099999999999994,0.0,0.0
16135a-27-124,530740.85,4388674.05,11.9,0.0,0.0,0.0
16135a-27-129,530766.94,4388691.35,43.3,0.0,0.0,0.0
16135a-27-131,530774.11,4388701.26,0.0,0.0,0.0,7.4
16135a-27-134,530794.66,4388712.88,0.0,3.1,0.0,0.0
16135a-27-137,530808.16,4388726.92,33.2,0.0,0.0,0.0
16135a-27-146,530846.92,4388538.62,53.0,0.0,0.0,0.0
16135a-27-147,530854.15,4388533.1,102.6,0.0,0.0,0.0
16135a-27-148,530856.29,4388533.78,94.1,0.0,0.0,0.0
16135a-27-149,530862.4,4388529.47,113.60000000000001,0.0,0.0,0.0
16135a-27-150,530861.76,4388517.26,156.7,0.0,0.0,0.0
16135a-28-102,530840.38,4388694.18,0.0,1.6,0.0,0.0
16135a-29-102,530799.64,4388672.08,137.6,0.0,0.0,0.0
16135a-29-104,530810.35,4388650.15,47.8,0.0,0.0,0.0
16135a-30-102,530848.25,4388704.0,17.0,0.0,0.0,0.0
16135b-14-040,530903.37,4388712.32,136.10000000000002,0.0,0.0,0.0
16135b-29-110,530894.49,4388715.28,106.4,0.0,0.0,0.0
16135c-01-018,530841.986325623,4388582.87348547,0.0,4.5,0.0,0.0
16135c-01-019,530849.396194765,4388578.67015998,74.1,2.6,0.0,0.0
